#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cta.13.desc;My combat victory against [FromFrom.GetTitledFirstName] was an insightful challenge to my own tactics. [FromFrom.GetSheHeCap] moved differently than I've come to expect and demonstrated a new, effective combat style to me. At no point was my victory certain, but I learned from [FromFrom.GetObjectPronoun] and finally defeated [FromFrom.GetObjectPronoun]. Certainly, I'm now a finer warrior.;;;;Mi victoria sobre [FromFrom.GetTitledFirstName] ha sido un desafío a mis tácticas. [FromFrom.GetSheHeCap] me sorprendió con nuevos movimientos y un estilo de combate eficaz. En ningún momento estuve seguro de ganar, pero aprendí de [FromFrom.GetObjectPronoun] y conseguí derrotarle. Ahora soy un guerrero más diestro.;;;;;;;;;x
cta.13.opt.1;I'm recognized as a warrior in my own right now.;;;;Ahora soy reconocido como guerrero por derecho propio.;;;;;;;;;x
cta.13.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.13.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.13.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
cta.110.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] with the CTA ambition [From.GetAmbition] (Martial: [From.GetMartial]).;;;;Mi [GetFromRelation], [From.GetBestName], ganó experiencia de un combate impulsivo a la edad de [From.GetAgeYears] con la ambición [From.GetAmbition] (Martial: [From.GetMartial]).;;;;;;;;;x
cta.111.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] (Martial: [From.GetMartial]).;;;;Mi [GetFromRelation], [From.GetBestName], ganó experiencia de un combate impulsivo a la edad de [From.GetAgeYears] (Martial: [From.GetMartial]).;;;;;;;;;x
cta.112.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] and earned XP (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], venció en un duelo contra [FromFrom.GetBestName] y logró experiencia (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.113.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] but did not earn any XP (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], venció en un duelo contra [FromFrom.GetBestName] pero no logró experiencia (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.114.desc;My [GetFromRelation], [From.GetBestName], leveled-up [From.GetHerHis] combat trait (Ambition: [From.GetAmbition]).;;;;Mi [GetFromRelation], [From.GetBestName], mejoró su talento en combate (Ambition: [From.GetAmbition]).;;;;;;;;;x
cta.114.opt.1;Hmm... now [From.GetSheHe]'s a poor fighter.;;;;Hmm... ahora es un luchador torpe.;;;;;;;;;x
cta.114.opt.2;Now [From.GetSheHe]'s a trained fighter.;;;;Ahora es un luchador.;;;;;;;;;x
cta.114.opt.3;Now [From.GetSheHe]'s a skilled fighter.;;;;Ahora es un luchador competente.;;;;;;;;;x
cta.114.opt.4;Now [From.GetSheHe]'s a formidable fighter!;;;;¡Ahora es un luchador formidable!;;;;;;;;;x
obj_cta_0_title;Develop Personal Combat Skills;;;;Desarrollar habilidades de combate;;;;;;;;;x
obj_cta_0_desc;[This.GetTitledFirstName] has no education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] no ha sido educado en las artes marciales y quiere cambiar las cosas ganando experiencia en combate.;;;;;;;;;x
obj_cta_1_title;Become a Trained Fighter;;;;Convertirse en luchador;;;;;;;;;x
obj_cta_1_desc;[This.GetTitledFirstName] has a meager education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] tiene escasa formación en las artes marciales y quiere mejorar ganando experiencia en combate.;;;;;;;;;x
obj_cta_2_title;Become a Skilled Fighter;;;;Convertirse en luchador competente;;;;;;;;;x
obj_cta_2_desc;While [This.GetTitledFirstName] is already well-trained in personal combat, [This.GetSheHe]'d like to take [This.GetHerHis] skills to the next level through experience in the field.;;;;Aunque [This.GetTitledFirstName] está bien entrenado en las artes marciales, le gustaría alcanzar más nivel ganando experiencia en combate.;;;;;;;;;x
obj_cta_3_title;Become a Formidable Fighter;;;;Convertirse en luchador formidable;;;;;;;;;x
obj_cta_3_desc;While many already consider [This.GetTitledFirstName] to be one of the more skilled fighters in the realm, [This.GetSheHe] desires true mastery of [This.GetHerHis] art, and no better way to attain such heights exists than through experience in the field.;;;;Aunque muchos consideran a [This.GetTitledFirstName] uno de los mejores luchadores del reino, a [This.GetSheHe] le gustaría llegar a ser un maestro en el arte de la guerra, y qué mejor modo que ganando experiencia en combate.;;;;;;;;;x
